Open time,BTCUSDT,ETHUSDT
2020-11-30 00:00:00+00:00,19695.87,616.66
2020-12-01 00:00:00+00:00,18764.96,585.26
2020-12-02 00:00:00+00:00,19204.09,596.89
2020-12-03 00:00:00+00:00,19421.9,615.85
2020-12-04 00:00:00+00:00,18650.52,567.24
2020-12-05 00:00:00+00:00,19147.66,596.8
2020-12-06 00:00:00+00:00,19359.4,601.54
2020-12-07 00:00:00+00:00,19166.9,591.28
2020-12-08 00:00:00+00:00,18324.11,554.94
2020-12-09 00:00:00+00:00,18541.28,573.09
2020-12-10 00:00:00+00:00,18254.63,558.99
2020-12-11 00:00:00+00:00,18036.53,544.43
2020-12-12 00:00:00+00:00,18808.69,568.04
2020-12-13 00:00:00+00:00,19174.99,590.7
2020-12-14 00:00:00+00:00,19273.14,586.29
2020-12-15 00:00:00+00:00,19426.43,588.64
2020-12-16 00:00:00+00:00,21335.52,637.18
2020-12-17 00:00:00+00:00,22797.16,642.7
2020-12-18 00:00:00+00:00,23107.39,653.85
2020-12-19 00:00:00+00:00,23821.61,658.03
2020-12-20 00:00:00+00:00,23455.52,638.18
2020-12-21 00:00:00+00:00,22719.71,607.58
2020-12-22 00:00:00+00:00,23810.79,636.45
2020-12-23 00:00:00+00:00,23232.76,585.56
2020-12-24 00:00:00+00:00,23729.2,612.31
2020-12-25 00:00:00+00:00,24712.47,626.82
2020-12-26 00:00:00+00:00,26493.39,637.44
2020-12-27 00:00:00+00:00,26281.66,685.11
2020-12-28 00:00:00+00:00,27079.41,730.41
2020-12-29 00:00:00+00:00,27385.0,732.0
2020-12-30 00:00:00+00:00,28875.54,752.17
2020-12-31 00:00:00+00:00,28923.63,736.42
2021-01-01 00:00:00+00:00,29331.69,728.91
2021-01-02 00:00:00+00:00,32178.33,774.56
2021-01-03 00:00:00+00:00,33000.05,978.28
2021-01-04 00:00:00+00:00,31988.71,1041.43
2021-01-05 00:00:00+00:00,33949.53,1099.56
2021-01-06 00:00:00+00:00,36769.36,1208.42
2021-01-07 00:00:00+00:00,39432.28,1224.87
2021-01-08 00:00:00+00:00,40582.81,1216.93
2021-01-09 00:00:00+00:00,40088.22,1276.0
2021-01-10 00:00:00+00:00,38150.02,1254.25
2021-01-11 00:00:00+00:00,35404.47,1087.01
2021-01-12 00:00:00+00:00,34051.24,1050.16
2021-01-13 00:00:00+00:00,37371.38,1129.89
2021-01-14 00:00:00+00:00,39144.5,1231.62
2021-01-15 00:00:00+00:00,36742.22,1168.53
2021-01-16 00:00:00+00:00,35994.98,1227.83
2021-01-17 00:00:00+00:00,35828.61,1232.45
2021-01-18 00:00:00+00:00,36631.27,1258.45
2021-01-19 00:00:00+00:00,35891.49,1365.36
2021-01-20 00:00:00+00:00,35468.23,1376.99
2021-01-21 00:00:00+00:00,30850.13,1110.96
2021-01-22 00:00:00+00:00,32945.17,1232.62
2021-01-23 00:00:00+00:00,32078.0,1233.6
2021-01-24 00:00:00+00:00,32259.9,1392.51
2021-01-25 00:00:00+00:00,32254.2,1317.88
2021-01-26 00:00:00+00:00,32467.77,1365.97
2021-01-27 00:00:00+00:00,30366.15,1239.03
2021-01-28 00:00:00+00:00,33364.86,1329.69
2021-01-29 00:00:00+00:00,34252.2,1379.5
2021-01-30 00:00:00+00:00,34262.88,1378.05
2021-01-31 00:00:00+00:00,33092.98,1312.55
2021-02-01 00:00:00+00:00,33526.37,1374.17
2021-02-02 00:00:00+00:00,35466.24,1511.87
2021-02-03 00:00:00+00:00,37618.87,1664.49
2021-02-04 00:00:00+00:00,36936.66,1595.67
2021-02-05 00:00:00+00:00,38290.24,1719.19
2021-02-06 00:00:00+00:00,39186.94,1676.35
2021-02-07 00:00:00+00:00,38795.69,1611.62
2021-02-08 00:00:00+00:00,46374.87,1750.15
2021-02-09 00:00:00+00:00,46420.42,1769.13
2021-02-10 00:00:00+00:00,44807.58,1740.78
2021-02-11 00:00:00+00:00,47969.51,1785.62
2021-02-12 00:00:00+00:00,47287.6,1840.26
2021-02-13 00:00:00+00:00,47153.69,1814.96
2021-02-14 00:00:00+00:00,48577.79,1800.42
2021-02-15 00:00:00+00:00,47911.1,1779.25
2021-02-16 00:00:00+00:00,49133.45,1781.99
2021-02-17 00:00:00+00:00,52119.71,1849.88
